nom_barrage,apports_journaliers,id_barrage,lachers_journaliers,stock_actuel,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moyenne_mensuelle_apports,cumul_apports_annee_prec,moyenne_periode,stock_annee_prec,capacite_totale_actuelle,altitude_niveau_eau,capacite_totale_initiale,etat,annee_mise_en_service,Latitude,Longitude,Bassin_versant,Date,taux_remplissage,année,region
birmcherga,0.0,17,0.0012,10.2354,0.32699,7.31567,0.0276,0.48752,2.54987,6.58803,23.8776,11.6816,41.599,122.5,52.9,1.0,1971,36.5119,10.0102,1263.0,2025-04-23,24.60491838746124,2025,Zaghouan
rmel,0.0273866,18,0.01075,20.9839,0.207624,26.5724,0.24725,1.74711,1.02624,6.10044,15.3242,2.74862,23.825,43.0,22.0,1.0,1998,36.3308,10.3584,675.0,2025-04-23,88.07513116474291,2025,Kasserine
nebhana,0.0156353,19,0.027352,6.07508,0.248589,5.6342,0.139666,0.428863,1.84899,1.44933,19.791,2.53174,64.61,230.0,86.5,1.0,1965,36.06,9.8724,855.0,2025-04-23,9.402693081566321,2025,Mahdia
sidisaad,0.0102333,20,0.0,22.5705,1.17213,5.71756,0.066108,0.066108,2.67582,3.52613,36.9881,26.4897,133.317,270.0,209.0,1.0,1981,35.3902,9.6948,8950.0,2025-04-23,16.929948918742543,2025,Kairouan
elhaouareb,0.0,21,0.0,1.03119,1.33155,7.05973,0.015985,0.028406,0.880421,0.197357,13.21,0.00576132,77.47,217.0,0.0,1.0,1989,35.5727,9.7468,1120.0,2025-04-23,1.331082999870918,2025,Kairouan
sficifa,0.0,22,0.0,1.96771,0.300989,0.919438,0.0,0.0,0.0109432,0.406795,1.18248,1.71246,7.71,677.8,4.24,1.0,2005,35.3413,9.0705,173.65,2025-04-23,25.52153047989624,2025,Kairouan
sidiach,0.0,23,0.0,0.0,0.0280088,0.407372,0.0,0.022,0.0245687,0.326542,1.47322,1.337,88.0,541.0,88.0,1.0,1997,34.7468,8.7476,1900.0,2025-04-23,0.0,2025,Kairouan
elbrek,0.0009921,24,0.0,0.07,0.0306743,1.36527,0.0,0.02,0.00478571,0.175982,2.02567,0.06,14.6,849.0,16.0,1.0,2002,35.4705,8.9677,293.0,2025-04-23,0.4794520547945206,2025,Nabeul
bezirk,0.0,25,0.0,2.8684,0.00847781,3.25115,0.0,0.042,0.385796,0.214696,4.60553,0.17304,5.01,54.62,6.5,1.0,1959,36.7195,10.6272,86.0,2025-04-23,57.253493013972054,2025,Kairouan
chiba,0.0,26,0.0,0.985634,0.0207991,1.18315,0.0,0.050184,0.40619,0.000388172,6.27911,0.000475792,3.79,77.88,7.8,1.0,1963,36.6973,10.772,64.0,2025-04-23,26.00617414248021,2025,Kairouan
masri,4.61667e-05,27,0.07,3.30674,0.0460366,3.73252,1.16,4.8817,0.400928,1.24307,4.19115,2.53193,5.068,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2025-04-23,65.24743488555643,2025,Kairouan
lebna,0.0,28,0.0,4.63418,0.0895256,5.6152,0.0,0.0,0.762047,0.468485,17.5483,0.590855,25.46,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2025-04-23,18.20180675569521,2025,Nabeul
hma,0.0,29,0.0,3.59114,0.0356302,4.07376,0.0,0.03504,0.060987,0.759769,4.36482,0.274514,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2025-04-23,27.9379181577719,2025,Nabeul
abid,0.0,30,0.0,4.13601,0.0341867,4.01404,0.0,0.0132,0.221428,0.284399,5.16144,0.783936,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2025-04-23,43.016224648985954,2025,Kairouan
mellegue,6.8292,1,4.34,28.7361,25.9698,63.2777,20.5747,46.3294,15.1831,8.10723,131.018,8.75485,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2025-04-22,56.20203403090163,2025,Kef
sarrat,0.0613031,36,0.0,7.39341,1.53298,7.88457,0.800216,1.57089,1.382,2.33825,13.1185,4.59228,21.0,546.0,21.0,1.0,2016,35.8322,8.4434,1850.0,2025-04-22,35.206714285714284,2025,Kef
benmetir,0.330259,2,0.0432,43.6186,2.90392,24.361,0.9504,12.7125,4.65287,27.7648,40.3965,40.654,60.393,436.5,61.63,1.0,1954,36.7471,8.7419,103.0,2025-04-22,72.22459556571125,2025,Bizerte
kasseb,0.281299,3,0.0648,26.0016,3.43835,25.7174,1.4256,14.931,3.88401,23.5776,41.0576,22.4098,76.9,292.04,81.875,1.0,1968,36.7614,9.0024,101.0,2025-04-22,33.81222366710013,2025,Bizerte
barbara,0.435198,4,0.98902,62.1002,6.0565,50.3929,4.33935,39.6228,8.57463,68.2268,79.2666,59.0138,60.545,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2025-04-22,102.56866793294243,2025,Jendouba
sidisalem,2.00827,5,0.0432,131.833,17.791,84.193,0.94428,76.5169,45.272,119.735,352.584,234.34,580.348,115.0,814.0,1.0,1981,36.5907,9.3971,7950.0,2025-04-22,22.716197867486407,2025,Béja
bouheurtma,0.352115,6,0.03011,53.2229,4.65606,43.6107,1.15154,37.3099,8.32129,49.0201,75.384,69.7884,145.037,221.0,150.5,1.0,1976,36.6719,8.78758,390.0,2025-04-22,36.696084447416865,2025,Jendouba
joumine,0.080421,7,0.099443,26.264,2.70403,33.0667,2.18706,19.0044,6.67555,28.7091,71.6887,31.4953,118.773,90.0,129.9,1.0,1983,36.9909,9.6137,418.0,2025-04-22,22.112769737229844,2025,Bizerte
ghezala,0.00106791,8,0.0,2.19216,0.127721,2.2783,0.019824,0.019824,0.955746,2.71498,8.95132,2.83022,10.004,82.5,11.7,1.0,1984,37.0594,9.5458,48.0,2025-04-22,21.91283486605358,2025,Bizerte
melah,0.0124468,33,0.0,10.116,0.65478,9.43459,0.0,0.0,1.57,10.8696,24.2513,5.7682,41.0,136.0,41.0,1.0,2015,37.0761,9.4488,85.9,2025-04-22,24.673170731707316,2025,Bizerte
tine,0.00256702,34,0.0,3.0463,0.0970254,2.84088,0.0,0.0,1.39,2.44555,16.3493,3.6313,34.0,136.0,34.0,1.0,2017,36.864,9.6287,276.0,2025-04-22,8.959705882352942,2025,Bizerte
sejnane,0.311466,9,0.816183,62.7753,3.40441,64.0688,17.1671,136.047,6.74178,49.0796,115.514,43.1755,132.59,86.5,137.5,1.0,1994,37.181,9.4751,367.0,2025-04-22,47.34542574854815,2025,Bizerte
zarga,0.0375965,10,0.268812,24.418,2.31537,20.7508,1.13578,1.45456,2.08,18.166,20.8053,21.718,24.256,93.0,24.0,1.0,2012,36.8824,8.6992,60.0,2025-04-22,100.6678759894459,2025,Zaghouan
kebir,0.238763,31,0.0,42.9824,3.18843,28.141,0.0,11.5034,0.804585,19.6306,35.9455,28.52,64.4,85.0,64.4,1.0,2014,36.8802,8.7211,85.2,2025-04-22,66.74285714285713,2025,Nabeul
moula,0.134627,32,0.0,19.676,1.65273,19.9587,0.08159,8.08648,0.59641,10.8891,30.0882,20.084,26.337,110.0,26.3,1.0,2013,36.9347,8.845,58.0,2025-04-22,74.70858488058624,2025,Jendouba
selbarrak,1.44088,11,0.6858,206.27,12.8807,201.437,14.1718,106.429,21.6344,125.533,284.593,130.52,286.514,27.0,286.514,1.0,1999,37.0244,8.93652,865.0,2025-04-22,71.99299161646552,2025,Sidi Bouzid
ziatine,0.0185279,12,0.038299,16.7616,0.44877,14.2383,0.539681,6.03797,2.35,9.68495,27.5733,13.7419,33.3,37.0,33.0,1.0,2012,37.1856,9.2011,95.0,2025-04-22,50.33513513513515,2025,Béja
gamgoum,0.00198639,13,0.0,9.23553,0.273924,4.41901,0.63,3.972,0.154951,3.0046,7.88716,13.5735,18.3,48.0,18.3,1.0,2012,37.1989,9.2679,35.5,2025-04-22,50.46737704918033,2025,Siliana
harka,0.00609922,35,0.0,13.4069,0.368488,6.95259,0.0,0.0,1.42,5.22802,22.9013,9.1023,30.3,38.4,30.3,1.0,2016,37.222,9.4024,77.0,2025-04-22,44.24719471947195,2025,Siliana
siliana,0.0404085,14,0.0,9.13223,0.594889,6.33949,0.0,0.2189,3.07689,4.336,31.4317,6.48723,30.986,388.5,70.0,1.0,1987,36.1571,9.3521,1040.0,2025-04-22,29.472116439682438,2025,Siliana
lakhmess,0.0114505,15,4.8e-05,1.93721,0.210733,1.12205,0.000891,0.015456,1.48475,0.612307,10.5169,1.47686,7.22,517.06,8.22,1.0,1966,35.9994,9.4752,127.0,2025-04-22,26.83116343490305,2025,Sidi Bouzid
rmil,0.001008,16,0.0,0.7134,0.0543823,0.701132,0.0,0.0,0.582374,0.417268,9.62209,0.5938,2.0,285.0,4.0,1.0,2002,36.3023,9.5019,232.0,2025-04-22,35.67,2025,Kasserine
birmcherga,0.0095453,17,0.0012,10.2677,0.32699,7.31567,0.0264,0.48632,2.54987,6.58803,23.7926,11.7165,41.599,122.5,52.9,1.0,1971,36.5119,10.0102,1263.0,2025-04-22,24.68256448472319,2025,Zaghouan
rmel,0.0,18,0.01075,20.9839,0.180237,26.545,0.2365,1.73636,1.02624,6.10044,15.29,2.7917,23.825,43.0,22.0,1.0,1998,36.3308,10.3584,675.0,2025-04-22,88.07513116474291,2025,Kasserine
nebhana,0.0,19,0.012548,6.09124,0.232954,5.61856,0.112314,0.401511,1.84899,1.44448,19.7294,2.53174,64.61,230.0,86.5,1.0,1965,36.06,9.8724,855.0,2025-04-22,9.42770468967652,2025,Mahdia
sidisaad,0.00782545,20,0.0,22.5705,1.16189,5.70733,0.066108,0.066108,2.67582,3.52613,36.8989,26.5609,133.317,270.0,209.0,1.0,1981,35.3902,9.6948,8950.0,2025-04-22,16.929948918742543,2025,Kairouan
